DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2021-10-19,Brooklyn Nets,104.0,Milwaukee Bucks,127.0
2021-10-19,Golden State Warriors,121.0,Los Angeles Lakers,114.0
2021-10-20,Indiana Pacers,122.0,Charlotte Hornets,123.0
2021-10-20,Chicago Bulls,94.0,Detroit Pistons,88.0
2021-10-20,Boston Celtics,134.0,New York Knicks,138.0
2021-10-20,Washington Wizards,98.0,Toronto Raptors,83.0
2021-10-20,Cleveland Cavaliers,121.0,Memphis Grizzlies,132.0
2021-10-20,Houston Rockets,106.0,Minnesota Timberwolves,124.0
2021-10-20,Philadelphia 76ers,117.0,New Orleans Pelicans,97.0
2021-10-20,Orlando Magic,97.0,San Antonio Spurs,123.0
2021-10-20,Oklahoma City Thunder,86.0,Utah Jazz,107.0
2021-10-20,Sacramento Kings,124.0,Portland Trail Blazers,121.0
2021-10-20,Denver Nuggets,110.0,Phoenix Suns,98.0
2021-10-21,Dallas Mavericks,87.0,Atlanta Hawks,113.0
2021-10-21,Milwaukee Bucks,95.0,Miami Heat,137.0
2021-10-21,Los Angeles Clippers,113.0,Golden State Warriors,115.0
2021-10-22,New York Knicks,121.0,Orlando Magic,96.0
2021-10-22,Indiana Pacers,134.0,Washington Wizards,135.0
2021-10-22,Charlotte Hornets,123.0,Cleveland Cavaliers,112.0
2021-10-22,Toronto Raptors,115.0,Boston Celtics,83.0
2021-10-22,Brooklyn Nets,114.0,Philadelphia 76ers,109.0
2021-10-22,Oklahoma City Thunder,91.0,Houston Rockets,124.0
2021-10-22,New Orleans Pelicans,112.0,Chicago Bulls,128.0
2021-10-22,San Antonio Spurs,96.0,Denver Nuggets,102.0
2021-10-22,Phoenix Suns,115.0,Los Angeles Lakers,105.0
2021-10-22,Utah Jazz,110.0,Sacramento Kings,101.0
2021-10-23,Atlanta Hawks,95.0,Cleveland Cavaliers,101.0
2021-10-23,Miami Heat,91.0,Indiana Pacers,102.0
2021-10-23,Dallas Mavericks,103.0,Toronto Raptors,95.0
2021-10-23,Detroit Pistons,82.0,Chicago Bulls,97.0
2021-10-23,New Orleans Pelicans,89.0,Minnesota Timberwolves,96.0
2021-10-23,Milwaukee Bucks,121.0,San Antonio Spurs,111.0
2021-10-23,Phoenix Suns,105.0,Portland Trail Blazers,134.0
2021-10-23,Memphis Grizzlies,120.0,Los Angeles Clippers,114.0
2021-10-24,Charlotte Hornets,111.0,Brooklyn Nets,95.0
2021-10-24,Boston Celtics,107.0,Houston Rockets,97.0
2021-10-24,Orlando Magic,110.0,New York Knicks,104.0
2021-10-24,Philadelphia 76ers,115.0,Oklahoma City Thunder,103.0
2021-10-24,Golden State Warriors,119.0,Sacramento Kings,107.0
2021-10-24,Memphis Grizzlies,118.0,Los Angeles Lakers,121.0
2021-10-25,Boston Celtics,140.0,Charlotte Hornets,129.0
2021-10-25,Milwaukee Bucks,119.0,Indiana Pacers,109.0
2021-10-25,Chicago Bulls,111.0,Toronto Raptors,108.0
2021-10-25,Orlando Magic,90.0,Miami Heat,107.0
2021-10-25,Washington Wizards,90.0,Brooklyn Nets,104.0
2021-10-25,Detroit Pistons,104.0,Atlanta Hawks,122.0
2021-10-25,New Orleans Pelicans,107.0,Minnesota Timberwolves,98.0
2021-10-25,Cleveland Cavaliers,99.0,Denver Nuggets,87.0
2021-10-25,Portland Trail Blazers,86.0,Los Angeles Clippers,116.0
2021-10-26,Philadelphia 76ers,99.0,New York Knicks,112.0
2021-10-26,Golden State Warriors,106.0,Oklahoma City Thunder,98.0
2021-10-26,Los Angeles Lakers,125.0,San Antonio Spurs,121.0
2021-10-26,Houston Rockets,106.0,Dallas Mavericks,116.0
2021-10-26,Denver Nuggets,110.0,Utah Jazz,122.0
2021-10-27,Charlotte Hornets,120.0,Orlando Magic,111.0
2021-10-27,Washington Wizards,116.0,Boston Celtics,107.0
2021-10-27,Miami Heat,106.0,Brooklyn Nets,93.0
2021-10-27,Indiana Pacers,100.0,Toronto Raptors,118.0
2021-10-27,Atlanta Hawks,102.0,New Orleans Pelicans,99.0
2021-10-27,Minnesota Timberwolves,113.0,Milwaukee Bucks,108.0
2021-10-27,Los Angeles Lakers,115.0,Oklahoma City Thunder,123.0
2021-10-27,Sacramento Kings,110.0,Phoenix Suns,107.0
2021-10-27,Memphis Grizzlies,96.0,Portland Trail Blazers,116.0
2021-10-27,Cleveland Cavaliers,92.0,Los Angeles Clippers,79.0
2021-10-28,Atlanta Hawks,111.0,Washington Wizards,122.0
2021-10-28,Detroit Pistons,102.0,Philadelphia 76ers,110.0
2021-10-28,Utah Jazz,122.0,Houston Rockets,91.0
2021-10-28,New York Knicks,104.0,Chicago Bulls,103.0
2021-10-28,San Antonio Spurs,99.0,Dallas Mavericks,104.0
2021-10-28,Memphis Grizzlies,104.0,Golden State Warriors,101.0
2021-10-29,Orlando Magic,109.0,Toronto Raptors,110.0
2021-10-29,Charlotte Hornets,99.0,Miami Heat,114.0
2021-10-29,Indiana Pacers,98.0,Brooklyn Nets,105.0
2021-10-29,Sacramento Kings,113.0,New Orleans Pelicans,109.0
2021-10-29,Dallas Mavericks,75.0,Denver Nuggets,106.0
2021-10-29,Los Angeles Clippers,92.0,Portland Trail Blazers,111.0
2021-10-29,Cleveland Cavaliers,101.0,Los Angeles Lakers,113.0
2021-10-30,Boston Celtics,112.0,Washington Wizards,115.0
2021-10-30,Orlando Magic,103.0,Detroit Pistons,110.0
2021-10-30,New York Knicks,123.0,New Orleans Pelicans,117.0
2021-10-30,Toronto Raptors,97.0,Indiana Pacers,94.0
2021-10-30,Atlanta Hawks,94.0,Philadelphia 76ers,122.0
2021-10-30,Utah Jazz,99.0,Chicago Bulls,107.0
2021-10-30,Miami Heat,129.0,Memphis Grizzlies,103.0
2021-10-30,San Antonio Spurs,102.0,Milwaukee Bucks,93.0
2021-10-30,Oklahoma City Thunder,82.0,Golden State Warriors,103.0
2021-10-30,Denver Nuggets,93.0,Minnesota Timberwolves,91.0
2021-10-30,Cleveland Cavaliers,92.0,Phoenix Suns,101.0
2021-10-31,Sacramento Kings,99.0,Dallas Mavericks,105.0
2021-10-31,Portland Trail Blazers,113.0,Charlotte Hornets,125.0
2021-10-31,Utah Jazz,107.0,Milwaukee Bucks,95.0
