DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,VISITOR_ABBR,HOME_ABBR
2020-12-22,GOLDEN STATE WARRIORS,99.0,BROOKLYN NETS,125.0,GSW,BRK
2020-12-22,LOS ANGELES CLIPPERS,116.0,LOS ANGELES LAKERS,109.0,LAC,LAL
2020-12-23,CHARLOTTE HORNETS,114.0,CLEVELAND CAVALIERS,121.0,CHO,CLE
2020-12-23,NEW YORK KNICKS,107.0,INDIANA PACERS,121.0,NYK,IND
2020-12-23,MIAMI HEAT,107.0,ORLANDO MAGIC,113.0,MIA,ORL
2020-12-23,WASHINGTON WIZARDS,107.0,PHILADELPHIA 76ERS,113.0,WAS,PHI
2020-12-23,NEW ORLEANS PELICANS,113.0,TORONTO RAPTORS,99.0,NOP,TOR
2020-12-23,MILWAUKEE BUCKS,121.0,BOSTON CELTICS,122.0,MIL,BOS
2020-12-23,ATLANTA HAWKS,124.0,CHICAGO BULLS,104.0,ATL,CHI
2020-12-23,SAN ANTONIO SPURS,131.0,MEMPHIS GRIZZLIES,119.0,SAS,MEM
2020-12-23,DETROIT PISTONS,101.0,MINNESOTA TIMBERWOLVES,111.0,DET,MIN
2020-12-23,SACRAMENTO KINGS,124.0,DENVER NUGGETS,122.0,SAC,DEN
2020-12-23,UTAH JAZZ,120.0,PORTLAND TRAIL BLAZERS,100.0,UTA,POR
2020-12-23,DALLAS MAVERICKS,102.0,PHOENIX SUNS,106.0,DAL,PHO
2020-12-25,NEW ORLEANS PELICANS,98.0,MIAMI HEAT,111.0,NOP,MIA
2020-12-25,GOLDEN STATE WARRIORS,99.0,MILWAUKEE BUCKS,138.0,GSW,MIL
2020-12-25,BROOKLYN NETS,123.0,BOSTON CELTICS,95.0,BRK,BOS
2020-12-25,DALLAS MAVERICKS,115.0,LOS ANGELES LAKERS,138.0,DAL,LAL
2020-12-25,LOS ANGELES CLIPPERS,121.0,DENVER NUGGETS,108.0,LAC,DEN
2020-12-26,ATLANTA HAWKS,122.0,MEMPHIS GRIZZLIES,112.0,ATL,MEM
2020-12-26,OKLAHOMA CITY THUNDER,109.0,CHARLOTTE HORNETS,107.0,OKC,CHO
2020-12-26,CLEVELAND CAVALIERS,128.0,DETROIT PISTONS,119.0,CLE,DET
2020-12-26,ORLANDO MAGIC,130.0,WASHINGTON WIZARDS,120.0,ORL,WAS
2020-12-26,PHILADELPHIA 76ERS,109.0,NEW YORK KNICKS,89.0,PHI,NYK
2020-12-26,INDIANA PACERS,125.0,CHICAGO BULLS,106.0,IND,CHI
2020-12-26,TORONTO RAPTORS,114.0,SAN ANTONIO SPURS,119.0,TOR,SAS
