DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
10/19/21,Brooklyn Nets,104,Milwaukee Bucks,127
10/20/21,Indiana Pacers,122,Charlotte Hornets,123
10/21/21,Dallas Mavericks,87,Atlanta Hawks,113
10/22/21,New York Knicks,121,Orlando Magic,96
10/23/21,Atlanta Hawks,95,Cleveland Cavaliers,101
10/24/21,Charlotte Hornets,111,Brooklyn Nets,95
10/25/21,Boston Celtics,140,Charlotte Hornets,129
10/26/21,Philadelphia 76ers,99,New York Knicks,112
10/27/21,Charlotte Hornets,120,Orlando Magic,111
10/28/21,Atlanta Hawks,111,Washington Wizards,122
10/29/21,Orlando Magic,109,Toronto Raptors,110
10/30/21,Boston Celtics,112,Washington Wizards,115
10/31/21,Sacramento Kings,99,Dallas Mavericks,105
11/1/21,Cleveland Cavaliers,113,Charlotte Hornets,110
11/2/21,Milwaukee Bucks,117,Detroit Pistons,89
11/3/21,Portland Trail Blazers,104,Cleveland Cavaliers,107
11/4/21,Philadelphia 76ers,109,Detroit Pistons,98
11/5/21,Brooklyn Nets,96,Detroit Pistons,90
11/6/21,Houston Rockets,94,Denver Nuggets,95
11/7/21,Brooklyn Nets,116,Toronto Raptors,103
11/8/21,New York Knicks,103,Philadelphia 76ers,96
11/9/21,Milwaukee Bucks,118,Philadelphia 76ers,109
11/10/21,Washington Wizards,97,Cleveland Cavaliers,94
11/11/21,Toronto Raptors,115,Philadelphia 76ers,109
11/12/21,New York Knicks,96,Charlotte Hornets,104
11/13/21,Miami Heat,111,Utah Jazz,105
11/14/21,San Antonio Spurs,106,Los Angeles Lakers,114
11/15/21,Boston Celtics,98,Cleveland Cavaliers,92
11/16/21,Golden State Warriors,117,Brooklyn Nets,99
11/17/21,Washington Wizards,87,Charlotte Hornets,97
11/18/21,Golden State Warriors,104,Cleveland Cavaliers,89
11/19/21,Indiana Pacers,118,Charlotte Hornets,121
11/20/21,Houston Rockets,99,New York Knicks,106
11/21/21,Dallas Mavericks,91,Los Angeles Clippers,97
11/22/21,Brooklyn Nets,117,Cleveland Cavaliers,112
11/23/21,Miami Heat,100,Detroit Pistons,92
