DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,margin,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2020-12-22,BRK,26,125.0,99.0,GSW,.457,.813,.429,24,57,.374,.652,.303,26,47
2020-12-22,LAL,-7,109.0,116.0,LAC,.469,.774,.310,22,45,.473,.737,.350,22,40
2020-12-23,CLE,7,121.0,114.0,CHO,.529,.750,.467,34,50,.500,.533,.364,29,32
2020-12-23,IND,14,121.0,107.0,NYK,.489,.724,.235,28,50,.459,.739,.429,25,40
2020-12-23,ORL,6,113.0,107.0,MIA,.477,.633,.357,23,41,.506,.842,.350,25,43
2020-12-23,PHI,6,113.0,107.0,WAS,.471,.767,.286,22,47,.459,.696,.481,28,40
2020-12-23,TOR,-14,99.0,113.0,NOP,.427,.750,.304,26,35,.525,.500,.452,30,45
2020-12-23,BOS,1,122.0,121.0,MIL,.475,.727,.450,23,37,.511,.833,.400,19,52
2020-12-23,CHI,-20,104.0,124.0,ATL,.414,.857,.229,20,37,.538,.828,.400,24,46
2020-12-23,MEM,-12,119.0,131.0,SAS,.516,.611,.370,27,42,.505,.862,.400,28,48
2020-12-23,MIN,10,111.0,101.0,DET,.432,.857,.268,25,48,.484,.375,.229,29,44
2020-12-23,DEN,-2,122.0,124.0,SAC,.480,.833,.276,28,46,.441,.774,.323,27,54
2020-12-23,POR,-20,100.0,120.0,UTA,.402,.824,.364,23,40,.457,.789,.380,24,59
2020-12-23,PHO,4,106.0,102.0,DAL,.481,.704,.367,21,48,.424,.808,.243,17,39
2020-12-25,MIA,13,111.0,98.0,NOP,.507,.826,.432,29,35,.397,.788,.286,18,41
2020-12-25,MIL,39,138.0,99.0,GSW,.556,.692,.556,25,60,.343,.840,.222,14,43
2020-12-25,BOS,-28,95.0,123.0,BRK,.378,.684,.296,23,47,.539,.839,.517,21,43
2020-12-25,LAL,23,138.0,115.0,DAL,.560,.708,.487,33,53,.494,.769,.406,20,27
2020-12-25,DEN,-13,108.0,121.0,LAC,.457,.742,.306,25,32,.554,.833,.500,32,38
2020-12-26,MEM,-10,112.0,122.0,ATL,.398,.862,.302,20,46,.427,.868,.361,23,54
2020-12-26,CHO,-2,107.0,109.0,OKC,.398,.625,.406,27,47,.455,.792,.278,25,54
2020-12-26,DET,-9,119.0,128.0,CLE,.408,.719,.356,24,57,.485,.633,.433,29,51
2020-12-26,WAS,-10,120.0,130.0,ORL,.484,.536,.351,28,43,.505,.793,.355,25,54
2020-12-26,NYK,-20,89.0,109.0,PHI,.386,.739,.276,19,43,.466,.727,.355,20,47
2020-12-26,CHI,-19,106.0,125.0,IND,.374,.880,.410,23,41,.559,.632,.346,34,49
2020-12-26,SAS,5,119.0,114.0,TOR,.470,.688,.412,36,53,.458,.733,.366,32,46
2020-12-26,UTA,-5,111.0,116.0,MIN,.383,.784,.294,15,57,.446,.722,.448,21,40
2020-12-26,POR,2,128.0,126.0,HOU,.461,.652,.422,27,45,.517,.781,.314,27,42
2020-12-26,SAC,3,106.0,103.0,PHO,.453,.697,.217,20,56,.418,.769,.250,25,40
2020-12-27,LAC,-51,73.0,124.0,DAL,.342,.850,.121,13,36,.494,.889,.341,25,54
2020-12-27,NOP,3,98.0,95.0,SAS,.383,.724,.208,15,56,.427,1.000,.306,26,47
2020-12-27,WAS,-7,113.0,120.0,ORL,.485,.846,.250,27,47,.435,.974,.360,19,45
2020-12-27,CHO,2,106.0,104.0,BRK,.448,.588,.294,35,52,.427,.680,.362,23,46
2020-12-27,CLE,24,118.0,94.0,PHI,.527,.813,.391,31,45,.418,.727,.324,24,39
2020-12-27,NYK,20,130.0,110.0,MIL,.541,.815,.593,27,46,.432,.724,.184,24,44
2020-12-27,IND,1,108.0,107.0,BOS,.511,.733,.269,23,37,.506,.750,.391,21,40
2020-12-27,CHI,-1,128.0,129.0,GSW,.512,.742,.415,27,54,.404,.900,.383,25,41
2020-12-27,SAC,-16,100.0,116.0,PHO,.474,.720,.435,21,39,.489,.909,.400,34,44
2020-12-27,LAL,36,127.0,91.0,MIN,.556,.778,.371,32,46,.369,.643,.171,24,48
2020-12-28,BRK,-5,111.0,116.0,MEM,.410,.882,.333,28,50,.429,.759,.345,20,56
2020-12-28,ATL,8,128.0,120.0,DET,.488,.875,.476,30,45,.439,.875,.317,24,48
2020-12-28,OKC,-1,109.0,110.0,UTA,.465,.737,.395,21,37,.500,.786,.361,24,43
2020-12-28,DEN,13,124.0,111.0,HOU,.529,.563,.452,31,52,.453,.739,.410,25,38
2020-12-28,LAL,-8,107.0,115.0,POR,.471,.833,.370,20,41,.467,.867,.348,27,45
2020-12-29,CLE,-9,86.0,95.0,NYK,.364,.682,.219,22,43,.430,.619,.560,23,55
2020-12-29,DET,-10,106.0,116.0,GSW,.380,.793,.371,21,45,.500,.722,.424,21,40
2020-12-29,IND,-5,111.0,116.0,BOS,.512,.813,.364,27,36,.500,.730,.409,21,43
2020-12-29,WAS,-8,107.0,115.0,CHI,.440,.885,.270,25,47,.437,.750,.417,26,37
2020-12-29,PHI,7,100.0,93.0,TOR,.381,.848,.258,21,54,.356,.857,.378,21,47
2020-12-29,MIA,-47,97.0,144.0,MIL,.468,.667,.297,23,30,.554,.867,.569,32,45
2020-12-29,OKC,-11,107.0,118.0,ORL,.494,.526,.324,20,47,.510,.813,.318,26,46
2020-12-29,PHO,25,111.0,86.0,NOP,.440,.947,.404,24,43,.481,.500,.125,18,41
2020-12-29,SAC,10,125.0,115.0,DEN,.489,.773,.485,33,37,.543,.800,.393,27,39
2020-12-29,LAC,23,124.0,101.0,MIN,.534,.875,.516,32,46,.416,.824,.342,22,39
2020-12-30,MIA,11,119.0,108.0,MIL,.488,.828,.385,25,52,.392,.923,.390,26,47
