DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,MARGIN,HOME_ABBR,VISITOR_ABBR,HOME_TEAM_WINS,ID
2020-12-22,GOLDEN STATE WARRIORS,99.0,BROOKLYN NETS,125.0,26,BRK,GSW,1,1
2020-12-22,LOS ANGELES CLIPPERS,116.0,LOS ANGELES LAKERS,109.0,-7,LAL,LAC,0,2
2020-12-23,CHARLOTTE HORNETS,114.0,CLEVELAND CAVALIERS,121.0,7,CLE,CHO,1,3
2020-12-23,NEW YORK KNICKS,107.0,INDIANA PACERS,121.0,14,IND,NYK,1,4
2020-12-23,MIAMI HEAT,107.0,ORLANDO MAGIC,113.0,6,ORL,MIA,1,5
2020-12-23,WASHINGTON WIZARDS,107.0,PHILADELPHIA 76ERS,113.0,6,PHI,WAS,1,6
2020-12-23,NEW ORLEANS PELICANS,113.0,TORONTO RAPTORS,99.0,-14,TOR,NOP,0,7
2020-12-23,MILWAUKEE BUCKS,121.0,BOSTON CELTICS,122.0,1,BOS,MIL,1,8
2020-12-23,ATLANTA HAWKS,124.0,CHICAGO BULLS,104.0,-20,CHI,ATL,0,9
2020-12-23,SAN ANTONIO SPURS,131.0,MEMPHIS GRIZZLIES,119.0,-12,MEM,SAS,0,10
2020-12-23,DETROIT PISTONS,101.0,MINNESOTA TIMBERWOLVES,111.0,10,MIN,DET,1,11
2020-12-23,SACRAMENTO KINGS,124.0,DENVER NUGGETS,122.0,-2,DEN,SAC,0,12
2020-12-23,UTAH JAZZ,120.0,PORTLAND TRAIL BLAZERS,100.0,-20,POR,UTA,0,13
2020-12-23,DALLAS MAVERICKS,102.0,PHOENIX SUNS,106.0,4,PHO,DAL,1,14
2020-12-25,NEW ORLEANS PELICANS,98.0,MIAMI HEAT,111.0,13,MIA,NOP,1,15
2020-12-25,GOLDEN STATE WARRIORS,99.0,MILWAUKEE BUCKS,138.0,39,MIL,GSW,1,16
2020-12-25,BROOKLYN NETS,123.0,BOSTON CELTICS,95.0,-28,BOS,BRK,0,17
2020-12-25,DALLAS MAVERICKS,115.0,LOS ANGELES LAKERS,138.0,23,LAL,DAL,1,18
2020-12-25,LOS ANGELES CLIPPERS,121.0,DENVER NUGGETS,108.0,-13,DEN,LAC,0,19
2020-12-26,ATLANTA HAWKS,122.0,MEMPHIS GRIZZLIES,112.0,-10,MEM,ATL,0,20
2020-12-26,OKLAHOMA CITY THUNDER,109.0,CHARLOTTE HORNETS,107.0,-2,CHO,OKC,0,21
2020-12-26,CLEVELAND CAVALIERS,128.0,DETROIT PISTONS,119.0,-9,DET,CLE,0,22
2020-12-26,ORLANDO MAGIC,130.0,WASHINGTON WIZARDS,120.0,-10,WAS,ORL,0,23
2020-12-26,PHILADELPHIA 76ERS,109.0,NEW YORK KNICKS,89.0,-20,NYK,PHI,0,24
2020-12-26,INDIANA PACERS,125.0,CHICAGO BULLS,106.0,-19,CHI,IND,0,25
2020-12-26,TORONTO RAPTORS,114.0,SAN ANTONIO SPURS,119.0,5,SAS,TOR,1,26
2020-12-26,MINNESOTA TIMBERWOLVES,116.0,UTAH JAZZ,111.0,-5,UTA,MIN,0,27
2020-12-26,HOUSTON ROCKETS,126.0,PORTLAND TRAIL BLAZERS,128.0,2,POR,HOU,1,28
2020-12-26,PHOENIX SUNS,103.0,SACRAMENTO KINGS,106.0,3,SAC,PHO,1,29
2020-12-27,DALLAS MAVERICKS,124.0,LOS ANGELES CLIPPERS,73.0,-51,LAC,DAL,0,30
2020-12-27,SAN ANTONIO SPURS,95.0,NEW ORLEANS PELICANS,98.0,3,NOP,SAS,1,31
2020-12-27,ORLANDO MAGIC,120.0,WASHINGTON WIZARDS,113.0,-7,WAS,ORL,0,32
2020-12-27,BROOKLYN NETS,104.0,CHARLOTTE HORNETS,106.0,2,CHO,BRK,1,33
2020-12-27,PHILADELPHIA 76ERS,94.0,CLEVELAND CAVALIERS,118.0,24,CLE,PHI,1,34
2020-12-27,MILWAUKEE BUCKS,110.0,NEW YORK KNICKS,130.0,20,NYK,MIL,1,35
2020-12-27,BOSTON CELTICS,107.0,INDIANA PACERS,108.0,1,IND,BOS,1,36
2020-12-27,GOLDEN STATE WARRIORS,129.0,CHICAGO BULLS,128.0,-1,CHI,GSW,0,37
2020-12-27,PHOENIX SUNS,116.0,SACRAMENTO KINGS,100.0,-16,SAC,PHO,0,38
