DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,HOME_TEAM_WINS,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2021-10-19,MIL,BRK,127,104,23,1,.457,.778,.378,25,54,.440,.565,.531,19,44
2021-10-19,LAL,GSW,114,121,-7,0,.474,.474,.357,21,45,.441,.833,.359,30,50
2021-10-20,CHO,IND,123,122,1,1,.430,.667,.419,29,46,.467,.875,.362,29,51
2021-10-20,DET,CHI,88,94,-6,0,.400,.769,.214,17,47,.430,.867,.304,18,48
2021-10-20,NYK,BOS,138,134,4,1,.486,.704,.378,27,55,.410,.739,.368,34,56
2021-10-20,TOR,WAS,83,98,-15,0,.309,.727,.206,14,54,.444,.808,.185,20,51
2021-10-20,MEM,CLE,132,121,11,1,.530,1.000,.424,28,53,.505,.722,.368,38,36
2021-10-20,MIN,HOU,124,106,18,1,.483,.774,.421,26,46,.455,.682,.333,21,41
2021-10-20,NOP,PHI,97,117,-20,0,.419,.667,.433,28,44,.518,.800,.520,24,47
2021-10-20,SAS,ORL,123,97,26,1,.500,.667,.433,32,43,.407,.783,.310,17,44
2021-10-20,UTA,OKC,107,86,21,1,.440,.867,.298,18,53,.374,.611,.200,19,50
2021-10-20,POR,SAC,121,124,-3,0,.484,.864,.343,25,49,.457,.793,.415,24,43
2021-10-20,PHO,DEN,98,110,-12,0,.414,.706,.378,23,45,.530,.556,.436,25,46
2021-10-21,ATL,DAL,113,87,26,1,.479,.889,.429,31,55,.333,.923,.302,16,50
2021-10-21,MIA,MIL,137,95,42,1,.531,.645,.429,28,58,.381,.655,.286,19,38
2021-10-21,GSW,LAC,115,113,2,1,.518,.636,.484,27,53,.438,.714,.350,24,39
2021-10-22,ORL,NYK,96,121,-25,0,.398,.867,.395,24,46,.500,.529,.444,34,38
2021-10-22,WAS,IND,135,134,1,1,.521,.947,.500,24,38,.536,.750,.441,28,42
2021-10-22,CLE,CHO,112,123,-11,0,.512,.850,.290,26,36,.527,.824,.406,32,46
2021-10-22,BOS,TOR,83,115,-32,0,.390,.727,.324,19,42,.420,1.000,.286,22,60
2021-10-22,PHI,BRK,109,114,-5,0,.473,.818,.389,17,35,.466,.833,.316,26,47
2021-10-22,HOU,OKC,124,91,33,1,.505,.786,.447,29,54,.374,.563,.326,22,39
2021-10-22,CHI,NOP,128,112,16,1,.528,.800,.500,32,46,.483,.813,.517,26,42
2021-10-22,DEN,SAS,102,96,6,1,.512,.625,.300,26,41,.476,.714,.250,24,39
