DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,HOME_TEAM_WINS,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2021-10-19,MIL,BRK,127,104,23,1,0.457,0.778,0.378,25,54,0.44,0.565,0.531,19,44
2021-10-19,LAL,GSW,114,121,-7,0,0.474,0.474,0.35700000000000004,21,45,0.441,0.833,0.359,30,50
2021-10-20,CHO,IND,123,122,1,1,0.43,0.667,0.419,29,46,0.467,0.875,0.362,29,51
2021-10-20,DET,CHI,88,94,-6,0,0.4,0.769,0.214,17,47,0.43,0.867,0.304,18,48
2021-10-20,NYK,BOS,138,134,4,1,0.486,0.7040000000000001,0.378,27,55,0.41,0.7390000000000001,0.368,34,56
2021-10-20,TOR,WAS,83,98,-15,0,0.309,0.727,0.206,14,54,0.444,0.8079999999999999,0.185,20,51
2021-10-20,MEM,CLE,132,121,11,1,0.53,1.0,0.424,28,53,0.505,0.722,0.368,38,36
2021-10-20,MIN,HOU,124,106,18,1,0.483,0.774,0.421,26,46,0.455,0.682,0.333,21,41
2021-10-20,NOP,PHI,97,117,-20,0,0.419,0.667,0.433,28,44,0.518,0.8,0.52,24,47
2021-10-20,SAS,ORL,123,97,26,1,0.5,0.667,0.433,32,43,0.407,0.7829999999999999,0.31,17,44
2021-10-20,UTA,OKC,107,86,21,1,0.44,0.867,0.298,18,53,0.374,0.611,0.2,19,50
2021-10-20,POR,SAC,121,124,-3,0,0.484,0.8640000000000001,0.343,25,49,0.457,0.7929999999999999,0.415,24,43
2021-10-20,PHO,DEN,98,110,-12,0,0.414,0.706,0.378,23,45,0.53,0.556,0.436,25,46
2021-10-21,ATL,DAL,113,87,26,1,0.479,0.889,0.429,31,55,0.333,0.923,0.302,16,50
2021-10-21,MIA,MIL,137,95,42,1,0.531,0.645,0.429,28,58,0.381,0.655,0.28600000000000003,19,38
2021-10-21,GSW,LAC,115,113,2,1,0.518,0.636,0.484,27,53,0.438,0.7140000000000001,0.35,24,39
2021-10-22,ORL,NYK,96,121,-25,0,0.398,0.867,0.395,24,46,0.5,0.529,0.444,34,38
2021-10-22,WAS,IND,135,134,1,1,0.521,0.947,0.5,24,38,0.536,0.75,0.441,28,42
2021-10-22,CLE,CHO,112,123,-11,0,0.512,0.85,0.29,26,36,0.527,0.8240000000000001,0.406,32,46
2021-10-22,BOS,TOR,83,115,-32,0,0.39,0.727,0.324,19,42,0.42,1.0,0.28600000000000003,22,60
2021-10-22,PHI,BRK,109,114,-5,0,0.473,0.818,0.389,17,35,0.466,0.833,0.316,26,47
2021-10-22,HOU,OKC,124,91,33,1,0.505,0.7859999999999999,0.447,29,54,0.374,0.563,0.326,22,39
2021-10-22,CHI,NOP,128,112,16,1,0.528,0.8,0.5,32,46,0.483,0.813,0.517,26,42
2021-10-22,DEN,SAS,102,96,6,1,0.512,0.625,0.3,26,41,0.476,0.7140000000000001,0.25,24,39
2021-10-22,LAL,PHO,105,115,-10,0,0.395,0.759,0.441,25,46,0.488,0.75,0.313,31,47
2021-10-22,SAC,UTA,101,110,-9,0,0.394,0.7140000000000001,0.222,20,52,0.411,0.87,0.381,16,51
2021-10-23,CLE,ATL,101,95,6,1,0.416,0.741,0.25,23,54,0.384,0.6,0.294,20,54
2021-10-23,IND,MIA,102,91,11,1,0.392,0.762,0.256,18,55,0.385,0.857,0.273,18,55
2021-10-23,TOR,DAL,95,103,-8,0,0.4,0.696,0.297,17,49,0.418,0.722,0.333,24,50
2021-10-23,CHI,DET,97,82,15,1,0.417,0.8420000000000001,0.423,24,42,0.386,0.6,0.179,14,53
2021-10-23,MIN,NOP,96,89,7,1,0.406,0.6,0.316,22,47,0.348,0.7829999999999999,0.225,15,61
2021-10-23,SAS,MIL,111,121,-10,0,0.485,0.833,0.256,29,38,0.53,0.818,0.429,21,44
2021-10-23,POR,PHO,134,105,29,1,0.5429999999999999,0.647,0.42,24,48,0.483,0.667,0.321,27,38
2021-10-23,LAC,MEM,114,120,-6,0,0.434,0.882,0.333,23,44,0.467,0.84,0.417,26,48
2021-10-24,BRK,CHO,95,111,-16,0,0.4370000000000001,0.833,0.257,18,44,0.457,0.789,0.333,26,48
2021-10-24,HOU,BOS,97,107,-10,0,0.4270000000000001,0.792,0.438,20,40,0.442,0.8,0.319,22,43
2021-10-24,NYK,ORL,104,110,-6,0,0.37,0.68,0.271,20,52,0.409,0.765,0.279,22,57
2021-10-24,OKC,PHI,103,115,-12,0,0.476,0.789,0.258,24,42,0.466,0.8,0.415,25,47
2021-10-24,SAC,GSW,107,119,-12,0,0.488,0.615,0.326,26,47,0.443,0.833,0.35100000000000003,26,43
2021-10-24,LAL,MEM,121,118,3,1,0.536,0.682,0.5329999999999999,29,36,0.45,0.833,0.371,25,49
2021-10-25,CHO,BOS,129,140,-11,0,0.447,0.643,0.4320000000000001,26,52,0.495,0.84,0.38,33,53
2021-10-25,IND,MIL,109,119,-10,0,0.444,0.882,0.389,23,47,0.482,0.8390000000000001,0.344,24,42
2021-10-25,TOR,CHI,108,111,-3,0,0.482,0.8,0.4,27,47,0.481,0.955,0.444,24,29
2021-10-25,MIA,ORL,107,90,17,1,0.471,1.0,0.222,28,42,0.407,0.632,0.273,21,39
2021-10-25,BRK,WAS,104,90,14,1,0.426,0.8240000000000001,0.28600000000000003,23,54,0.34700000000000003,0.75,0.231,16,53
2021-10-25,ATL,DET,122,104,18,1,0.511,0.857,0.375,24,49,0.44,0.833,0.273,26,36
2021-10-25,MIN,NOP,98,107,-9,0,0.344,0.778,0.3,20,41,0.448,0.826,0.333,19,60
2021-10-25,DEN,CLE,87,99,-12,0,0.407,0.667,0.237,21,47,0.463,0.8,0.28,26,49
2021-10-25,LAC,POR,116,86,30,1,0.473,0.737,0.326,37,43,0.376,0.778,0.21600000000000005,15,47
2021-10-26,NYK,PHI,112,99,13,1,0.471,0.933,0.4320000000000001,24,45,0.439,0.882,0.293,24,40
2021-10-26,OKC,GSW,98,106,-8,0,0.419,0.8240000000000001,0.353,19,42,0.47,0.778,0.35,30,46
2021-10-26,SAS,LAL,121,125,-4,0,0.444,0.545,0.361,33,59,0.476,0.773,0.267,20,56
2021-10-26,DAL,HOU,116,106,10,1,0.462,0.72,0.279,25,50,0.419,0.6920000000000001,0.41,24,49
2021-10-26,UTA,DEN,122,110,12,1,0.518,0.759,0.308,20,41,0.506,0.667,0.35700000000000004,19,35
2021-10-27,ORL,CHO,111,120,-9,0,0.489,0.769,0.375,22,33,0.518,0.833,0.467,22,40
2021-10-27,BOS,WAS,107,116,-9,0,0.435,0.821,0.345,18,37,0.512,0.7240000000000001,0.36,18,47
2021-10-27,BRK,MIA,93,106,-13,0,0.388,0.929,0.326,21,42,0.396,0.846,0.276,21,62
2021-10-27,TOR,IND,118,100,18,1,0.46,0.632,0.467,22,41,0.481,0.8240000000000001,0.345,19,40
2021-10-27,NOP,ATL,99,102,-3,0,0.43,0.889,0.306,24,44,0.417,0.8240000000000001,0.267,21,55
2021-10-27,MIL,MIN,108,113,-5,0,0.411,0.762,0.275,22,43,0.473,0.8240000000000001,0.289,29,49
2021-10-27,OKC,LAL,123,115,8,1,0.5,0.759,0.405,21,42,0.5,0.857,0.314,29,40
2021-10-27,PHO,SAC,107,110,-3,0,0.452,0.708,0.273,23,56,0.442,0.733,0.395,28,40
2021-10-27,POR,MEM,116,96,20,1,0.464,0.742,0.417,22,48,0.365,0.474,0.34,27,50
2021-10-27,LAC,CLE,79,92,-13,0,0.35600000000000004,0.615,0.22,19,36,0.407,0.852,0.15,12,57
2021-10-28,WAS,ATL,122,111,11,1,0.465,0.81,0.382,26,51,0.545,0.643,0.28600000000000003,26,43
2021-10-28,PHI,DET,110,102,8,1,0.5,0.917,0.444,22,46,0.407,0.7040000000000001,0.333,22,37
2021-10-28,HOU,UTA,91,122,-31,0,0.326,0.87,0.205,15,41,0.482,0.8,0.348,24,58
2021-10-28,CHI,NYK,103,104,-1,0,0.429,0.909,0.344,25,37,0.459,0.75,0.379,16,49
2021-10-28,DAL,SAS,104,99,5,1,0.461,0.308,0.4,18,45,0.443,0.6,0.4,21,48
2021-10-28,GSW,MEM,101,104,-3,0,0.433,0.75,0.35,29,48,0.402,1.0,0.25,25,51
2021-10-29,TOR,ORL,110,109,1,1,0.5,0.682,0.3,18,40,0.471,0.688,0.471,24,46
2021-10-29,MIA,CHO,114,99,15,1,0.473,1.0,0.257,23,60,0.389,0.727,0.35100000000000003,21,37
2021-10-29,BRK,IND,105,98,7,1,0.447,0.7559999999999999,0.231,20,50,0.398,0.696,0.276,20,46
2021-10-29,NOP,SAC,109,113,-4,0,0.429,0.64,0.265,18,49,0.5,0.96,0.333,19,45
2021-10-29,DEN,DAL,106,75,31,1,0.518,0.6920000000000001,0.306,28,51,0.295,0.778,0.21600000000000005,14,36
2021-10-29,POR,LAC,111,92,19,1,0.418,0.625,0.463,21,63,0.391,0.563,0.35700000000000004,17,43
2021-10-29,LAL,CLE,113,101,12,1,0.5479999999999999,0.9,0.444,24,42,0.425,0.682,0.353,28,36
2021-10-30,WAS,BOS,115,112,3,1,0.365,0.8059999999999999,0.278,19,62,0.411,0.88,0.077,23,54
2021-10-30,DET,ORL,110,103,7,1,0.404,0.8,0.326,26,48,0.4370000000000001,0.733,0.5,21,46
2021-10-30,NOP,NYK,117,123,-6,0,0.457,0.917,0.333,30,43,0.519,0.8,0.5760000000000001,22,37
2021-10-30,IND,TOR,94,97,-3,0,0.4320000000000001,0.688,0.302,25,40,0.424,0.667,0.344,18,48
2021-10-30,PHI,ATL,122,94,28,1,0.535,0.947,0.316,24,37,0.379,0.737,0.364,24,49
2021-10-30,CHI,UTA,107,99,8,1,0.429,0.8,0.238,16,45,0.38,0.947,0.289,15,54
2021-10-30,MEM,MIA,103,129,-26,0,0.386,0.905,0.32,26,32,0.523,0.8420000000000001,0.568,31,50
2021-10-30,MIL,SAS,93,102,-9,0,0.404,0.688,0.256,20,52,0.411,0.708,0.226,28,49
2021-10-30,GSW,OKC,103,82,21,1,0.424,0.5,0.389,30,56,0.349,0.762,0.205,14,45
2021-10-30,MIN,DEN,91,93,-2,0,0.393,0.889,0.317,21,46,0.409,0.75,0.243,24,48
2021-10-30,PHO,CLE,101,92,9,1,0.464,0.63,0.231,27,52,0.396,0.857,0.318,21,47
2021-10-31,DAL,SAC,105,99,6,1,0.444,0.65,0.324,24,45,0.396,0.8,0.194,20,56
2021-10-31,CHO,POR,125,113,12,1,0.517,0.619,0.476,36,44,0.443,0.909,0.315,30,47
2021-10-31,MIL,UTA,95,107,-12,0,0.406,0.833,0.293,16,44,0.467,0.926,0.324,13,44
2021-10-31,BRK,DET,117,91,26,1,0.653,0.625,0.52,30,41,0.405,0.682,0.364,21,29
2021-10-31,LAL,HOU,95,85,10,1,0.406,0.615,0.29,22,43,0.421,0.517,0.214,18,55
2021-11-01,CHO,CLE,110,113,-3,0,0.416,0.733,0.385,27,46,0.433,0.684,0.321,21,49
2021-11-01,IND,SAS,131,118,13,1,0.5710000000000001,0.75,0.474,37,39,0.528,0.7140000000000001,0.5,34,36
2021-11-01,PHI,POR,113,103,10,1,0.518,0.875,0.361,34,34,0.476,0.611,0.353,21,45
2021-11-01,ATL,WAS,118,111,7,1,0.458,1.0,0.382,24,47,0.477,1.0,0.333,27,36
2021-11-01,BOS,CHI,114,128,-14,0,0.438,0.75,0.455,20,38,0.57,0.944,0.419,30,50
2021-11-01,NYK,TOR,104,113,-9,0,0.461,0.75,0.421,20,41,0.434,0.929,0.333,24,48
