DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2020-12-22,Golden State Warriors,99.0,Brooklyn Nets,125.0
2020-12-22,Los Angeles Clippers,116.0,Los Angeles Lakers,109.0
2020-12-23,Charlotte Hornets,114.0,Cleveland Cavaliers,121.0
2020-12-23,New York Knicks,107.0,Indiana Pacers,121.0
2020-12-23,Miami Heat,107.0,Orlando Magic,113.0
2020-12-23,Washington Wizards,107.0,Philadelphia 76ers,113.0
2020-12-23,New Orleans Pelicans,113.0,Toronto Raptors,99.0
2020-12-23,Milwaukee Bucks,121.0,Boston Celtics,122.0
2020-12-23,Atlanta Hawks,124.0,Chicago Bulls,104.0
2020-12-23,San Antonio Spurs,131.0,Memphis Grizzlies,119.0
2020-12-23,Detroit Pistons,101.0,Minnesota Timberwolves,111.0
2020-12-23,Sacramento Kings,124.0,Denver Nuggets,122.0
2020-12-23,Utah Jazz,120.0,Portland Trail Blazers,100.0
2020-12-23,Dallas Mavericks,102.0,Phoenix Suns,106.0
2020-12-25,New Orleans Pelicans,98.0,Miami Heat,111.0
2020-12-25,Golden State Warriors,99.0,Milwaukee Bucks,138.0
2020-12-25,Brooklyn Nets,123.0,Boston Celtics,95.0
2020-12-25,Dallas Mavericks,115.0,Los Angeles Lakers,138.0
2020-12-25,Los Angeles Clippers,121.0,Denver Nuggets,108.0
2020-12-26,Atlanta Hawks,122.0,Memphis Grizzlies,112.0
2020-12-26,Oklahoma City Thunder,109.0,Charlotte Hornets,107.0
2020-12-26,Cleveland Cavaliers,128.0,Detroit Pistons,119.0
2020-12-26,Orlando Magic,130.0,Washington Wizards,120.0
2020-12-26,Philadelphia 76ers,109.0,New York Knicks,89.0
2020-12-26,Indiana Pacers,125.0,Chicago Bulls,106.0
2020-12-26,Toronto Raptors,114.0,San Antonio Spurs,119.0
2020-12-26,Minnesota Timberwolves,116.0,Utah Jazz,111.0
2020-12-26,Houston Rockets,126.0,Portland Trail Blazers,128.0
2020-12-26,Phoenix Suns,103.0,Sacramento Kings,106.0
2020-12-27,Dallas Mavericks,124.0,Los Angeles Clippers,73.0
2020-12-27,San Antonio Spurs,95.0,New Orleans Pelicans,98.0
2020-12-27,Orlando Magic,120.0,Washington Wizards,113.0
2020-12-27,Brooklyn Nets,104.0,Charlotte Hornets,106.0
2020-12-27,Philadelphia 76ers,94.0,Cleveland Cavaliers,118.0
2020-12-27,Milwaukee Bucks,110.0,New York Knicks,130.0
2020-12-27,Boston Celtics,107.0,Indiana Pacers,108.0
2020-12-27,Golden State Warriors,129.0,Chicago Bulls,128.0
2020-12-27,Phoenix Suns,116.0,Sacramento Kings,100.0
2020-12-27,Minnesota Timberwolves,91.0,Los Angeles Lakers,127.0
2020-12-28,Memphis Grizzlies,116.0,Brooklyn Nets,111.0
2020-12-28,Detroit Pistons,120.0,Atlanta Hawks,128.0
2020-12-28,Utah Jazz,110.0,Oklahoma City Thunder,109.0
2020-12-28,Houston Rockets,111.0,Denver Nuggets,124.0
2020-12-28,Portland Trail Blazers,115.0,Los Angeles Lakers,107.0
2020-12-29,New York Knicks,95.0,Cleveland Cavaliers,86.0
2020-12-29,Golden State Warriors,116.0,Detroit Pistons,106.0
2020-12-29,Boston Celtics,116.0,Indiana Pacers,111.0
2020-12-29,Chicago Bulls,115.0,Washington Wizards,107.0
2020-12-29,Toronto Raptors,93.0,Philadelphia 76ers,100.0
2020-12-29,Milwaukee Bucks,144.0,Miami Heat,97.0
2020-12-29,Orlando Magic,118.0,Oklahoma City Thunder,107.0
2020-12-29,New Orleans Pelicans,86.0,Phoenix Suns,111.0
2020-12-29,Denver Nuggets,115.0,Sacramento Kings,125.0
2020-12-29,Minnesota Timberwolves,101.0,Los Angeles Clippers,124.0
2020-12-30,Milwaukee Bucks,108.0,Miami Heat,119.0
2020-12-30,Atlanta Hawks,141.0,Brooklyn Nets,145.0
2020-12-30,Memphis Grizzlies,107.0,Boston Celtics,126.0
2020-12-30,Charlotte Hornets,118.0,Dallas Mavericks,99.0
2020-12-30,Los Angeles Lakers,121.0,San Antonio Spurs,107.0
2020-12-30,Portland Trail Blazers,105.0,Los Angeles Clippers,128.0
2020-12-31,Cleveland Cavaliers,99.0,Indiana Pacers,119.0
2020-12-31,Chicago Bulls,133.0,Washington Wizards,130.0
2020-12-31,Philadelphia 76ers,116.0,Orlando Magic,92.0
2020-12-31,Sacramento Kings,119.0,Houston Rockets,122.0
2020-12-31,New York Knicks,83.0,Toronto Raptors,100.0
2020-12-31,New Orleans Pelicans,113.0,Oklahoma City Thunder,80.0
2020-12-31,Phoenix Suns,106.0,Utah Jazz,95.0
2021-01-01,Memphis Grizzlies,108.0,Charlotte Hornets,93.0
2021-01-01,Miami Heat,83.0,Dallas Mavericks,93.0
2021-01-01,Boston Celtics,93.0,Detroit Pistons,96.0
2021-01-01,Atlanta Hawks,114.0,Brooklyn Nets,96.0
2021-01-01,Chicago Bulls,96.0,Milwaukee Bucks,126.0
2021-01-01,Washington Wizards,130.0,Minnesota Timberwolves,109.0
2021-01-01,Los Angeles Lakers,109.0,San Antonio Spurs,103.0
2021-01-01,Phoenix Suns,106.0,Denver Nuggets,103.0
2021-01-01,Los Angeles Clippers,100.0,Utah Jazz,106.0
2021-01-01,Portland Trail Blazers,123.0,Golden State Warriors,98.0
2021-01-02,Sacramento Kings,94.0,Houston Rockets,102.0
2021-01-02,New York Knicks,106.0,Indiana Pacers,102.0
2021-01-02,Oklahoma City Thunder,108.0,Orlando Magic,99.0
2021-01-02,Charlotte Hornets,112.0,Philadelphia 76ers,127.0
2021-01-02,Cleveland Cavaliers,96.0,Atlanta Hawks,91.0
2021-01-02,Toronto Raptors,116.0,New Orleans Pelicans,120.0
2021-01-03,Boston Celtics,122.0,Detroit Pistons,120.0
2021-01-03,Washington Wizards,123.0,Brooklyn Nets,122.0
2021-01-03,Los Angeles Lakers,108.0,Memphis Grizzlies,94.0
2021-01-03,Denver Nuggets,124.0,Minnesota Timberwolves,109.0
2021-01-03,Utah Jazz,130.0,San Antonio Spurs,109.0
2021-01-03,Dallas Mavericks,108.0,Chicago Bulls,118.0
2021-01-03,Los Angeles Clippers,112.0,Phoenix Suns,107.0
2021-01-03,Portland Trail Blazers,122.0,Golden State Warriors,137.0
2021-01-04,Cleveland Cavaliers,83.0,Orlando Magic,103.0
2021-01-04,Charlotte Hornets,101.0,Philadelphia 76ers,118.0
2021-01-04,New York Knicks,113.0,Atlanta Hawks,108.0
2021-01-04,Oklahoma City Thunder,90.0,Miami Heat,118.0
2021-01-04,Boston Celtics,126.0,Toronto Raptors,114.0
